currency,feature,provider,series_id,frequency,coverage_start,coverage_end,publication_time_status,vintage_status,expectation_kind,license_status,missing_rate,decision,limitation
AUD,central_bank_profile,official central-bank documents,manual_effective_dated_profile,event_driven,pending_manual_audit,open,pending_manual_audit,versioned_document_required,not_applicable,public_documents_citation_only,pending,REVIEW_REQUIRED,"Target, mandate, indicator choice, and historical changes require official citations."
AUD,fx_reference,ECB EXR reference rates,EXR.D.AUD.EUR.SP00.A,business_daily,1999-01-04_or_currency_specific,open,verified_conservative_16_00_CET,non_revisable_with_corrections_possible,not_applicable,free_access_research_use,sample_0_on_common_business_dates,PASS,Indicative reference marks are not executable bid or ask quotes.
AUD,headline_inflation,ALFRED hosting OECD or Eurostat,CPALTT01AUQ659N,quarterly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Quarterly OECD headline CPI cannot provide a new monthly observation.
AUD,policy_expectation_6m,NONE_QUALIFIED,none,monthly_snapshot,not_available,not_available,not_available,not_applicable,tier_a_ois_or_short_rate_futures_required,not_available,1.0,FAIL,No free point-in-time six-month policy-expectation history has qualified across all G10 currencies.
AUD,policy_rate,BIS WS_CBPOL 1.0,WS_CBPOL.D.AU,daily,long_history_provider_specific,open,effective_date_verified_announcement_time_pending,non_revisable_with_corrections_possible,not_applicable,free_access_terms_reviewed_for_research_snapshots,sample_pass_full_backfill_pending,REVIEW_REQUIRED,BIS scalar history passes; exact bank announcement times and corridor mappings need effective-dated profiles.
AUD,underlying_inflation,ALFRED hosting OECD or Eurostat,CPGRLE01AUQ659N,quarterly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Quarterly generic core CPI; RBA trimmed-mean mapping remains unresolved.
AUD,unemployment,ALFRED hosting OECD,LRHUTTTTAUM156S,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Harmonised unemployment is a candidate; release calendars and revisions remain to be audited.
CAD,central_bank_profile,official central-bank documents,manual_effective_dated_profile,event_driven,pending_manual_audit,open,pending_manual_audit,versioned_document_required,not_applicable,public_documents_citation_only,pending,REVIEW_REQUIRED,"Target, mandate, indicator choice, and historical changes require official citations."
CAD,fx_reference,ECB EXR reference rates,EXR.D.CAD.EUR.SP00.A,business_daily,1999-01-04_or_currency_specific,open,verified_conservative_16_00_CET,non_revisable_with_corrections_possible,not_applicable,free_access_research_use,sample_0_on_common_business_dates,PASS,Indicative reference marks are not executable bid or ask quotes.
CAD,headline_inflation,ALFRED hosting OECD or Eurostat,CPALTT01CAM659N,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Candidate identity is verified but full point-in-time coverage is not yet audited.
